RELATÓRIO DE ERROS DE IMPORTAÇÃO
Data/Hora: 04/06/2026 18:37:41
----------------------------------------

- Linha 4137: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4250: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4261: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4915: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4926: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4930: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4967: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4968: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4972: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4975: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 4985: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 5011: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 5694: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10483: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10491: Todos os campos básicos são obrigatórios (Nome, Nascimento, Sexo, Raça, CPF).
- Linha 10894: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10895: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10896: Turma não encontrada na unidade (82.02/EF.VESP-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10897: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10898: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10899: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10900: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10901: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10902: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10903: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10904: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10905: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10906: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10907: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10908: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10909: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10910: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10911: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10912: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
- Linha 10913: Turma não encontrada na unidade (92.01/EF.MAT-ANL - COLÉGIO ESTADUAL 1º DE JUNHO).
